
1.1.true
Vehicle TOPO

ReqID,	a(SrcNode),	i(DesNode),	k(Path),	p(Ratio),	dtTrans,	tArrival,	start,	end,	timeSer(PSO),	t_wait,	t_proc,	t_serv,	moved_data,
28,	V9,	V9,	V9,	0.7575757575757578,	0.0,	7.0,	7.0,	8.0,	12.500000000000004,	0.0,	1.0,	1.0,	348.48484848484856
28,	V9,	V13,	V9,	0.0606060606060606,	0.1212121212121212,	7.121212121212121,	13.242424242424242,	14.242424242424242,	8.242424242424244,	6.121212121212121,	1.0,	7.242424242424242,	0.0
28,	V9,	V14,	V9,	0.0606060606060606,	0.1212121212121212,	7.121212121212121,	13.242424242424242,	14.242424242424242,	8.242424242424244,	6.121212121212121,	1.0,	7.242424242424242,	0.0
48,	V8,	V3,	V8,	0.0606060606060606,	0.1212121212121212,	7.121212121212121,	13.910424186618938,	14.910424186618938,	7.910424186618941,	6.789212065406817,	1.0,	7.910424186618938,	0.0
48,	V8,	V4,	V8,	0.0606060606060606,	0.1212121212121212,	7.121212121212121,	14.242424242424242,	15.242424242424242,	8.242424242424244,	7.121212121212121,	1.0,	8.242424242424242,	0.0
48,	V8,	V8,	V8,	0.7575757575757578,	0.0,	7.0,	7.0,	8.0,	12.500000000000004,	0.0,	1.0,	1.0,	348.48484848484856
48,	V8,	V13,	V8,	0.0606060606060606,	0.1212121212121212,	7.121212121212121,	14.242424242424242,	15.242424242424242,	8.242424242424244,	7.121212121212121,	1.0,	8.242424242424242,	0.0
48,	V8,	V14,	V8,	0.0606060606060606,	0.1212121212121212,	7.121212121212121,	14.242424242424242,	15.242424242424242,	8.242424242424244,	7.121212121212121,	1.0,	8.242424242424242,	0.0
9,	V6,	V0,	V6,	0.0606060606060606,	0.1212121212121212,	8.121212121212121,	8.181562222352373,	9.181562222352373,	1.121212121212121,	0.06035010114025141,	1.0,	1.1815622223523725,	0.0
9,	V6,	V1,	V6,	0.0606060606060606,	0.1212121212121212,	8.121212121212121,	8.242424242424242,	9.242424242424242,	1.2424242424242429,	0.1212121212121211,	1.0,	1.2424242424242422,	0.0
9,	V6,	V5,	V6,	0.0606060606060606,	0.1212121212121212,	8.121212121212121,	8.186374860275242,	9.186374860275242,	1.1863748602752422,	0.06516273906312087,	1.0,	1.186374860275242,	0.0
9,	V6,	V6,	V6,	0.7575757575757578,	0.0,	8.0,	8.0,	9.0,	12.500000000000004,	0.0,	1.0,	1.0,	348.48484848484856
9,	V6,	V11,	V6,	0.0606060606060606,	0.1212121212121212,	8.121212121212121,	8.121212121212121,	9.242424242424242,	1.121212121212121,	0.0,	1.121212121212121,	1.2424242424242422,	0.0
29,	V9,	V3,	V9,	0.0606060606060606,	0.1212121212121212,	8.121212121212121,	14.910424186618938,	15.910424186618938,	8.91042418661894,	6.789212065406817,	1.0,	7.910424186618938,	0.0
29,	V9,	V4,	V9,	0.0606060606060606,	0.1212121212121212,	8.121212121212121,	16.242424242424242,	17.242424242424242,	9.242424242424244,	8.121212121212121,	1.0,	9.242424242424242,	0.0
29,	V9,	V9,	V9,	0.7575757575757578,	0.0,	8.0,	8.0,	9.0,	12.500000000000004,	0.0,	1.0,	1.0,	348.48484848484856
29,	V9,	V13,	V9,	0.0606060606060606,	0.1212121212121212,	8.121212121212121,	16.242424242424242,	17.242424242424242,	9.242424242424244,	8.121212121212121,	1.0,	9.242424242424242,	0.0
29,	V9,	V14,	V9,	0.0606060606060606,	0.1212121212121212,	8.121212121212121,	16.242424242424242,	17.242424242424242,	9.242424242424244,	8.121212121212121,	1.0,	9.242424242424242,	0.0
